query_id,query,high_level_query,answer_format,topic,high_level_topic,is_level1,is_level2,is_union
1,地方公共団体の区分  ,地方公共団体の区分,"1. 都道府県
2. 政令指定都市
3. 中核市
4. 施行時特例市
5. 人口10万人以上であって、上記2〜4以外の市区町村
6. 人口3万人以上10万人未満の市区町村
7. 人口1万人以上3万人未満の市区町村
8. 人口1万人未満の市区町村
9. 地方公共団体の組合（一部事務組合及び広域連合）",（１）団体区分,０．基礎情報,1,1,1
2,組合の事務内容（内容選択・事務事業編対象） 事務内容 １.一般廃棄物処理（ごみ処理・リサイクル施設）,組合の事務内容（内容選択・事務事業編対象）,"１.該当する
２.該当しない",（３）一部事務組合及び広域連合の事務内容,０．基礎情報,,,1
3,組合の事務内容（内容選択・事務事業編対象） 事務内容 ２.一般廃棄物処理（し尿処理）,組合の事務内容（内容選択・事務事業編対象）,"１.該当する
２.該当しない",（３）一部事務組合及び広域連合の事務内容,０．基礎情報,,,1
4,組合の事務内容（内容選択・事務事業編対象） 事務内容 ３.産業廃棄物処理,組合の事務内容（内容選択・事務事業編対象）,"１.該当する
２.該当しない",（３）一部事務組合及び広域連合の事務内容,０．基礎情報,,,1
5,組合の事務内容（内容選択・事務事業編対象） 事務内容 ４.火葬・斎場・墓地等,組合の事務内容（内容選択・事務事業編対象）,"１.該当する
２.該当しない",（３）一部事務組合及び広域連合の事務内容,０．基礎情報,,,1
6,組合の事務内容（内容選択・事務事業編対象） 事務内容 ５.その他環境衛生事業,組合の事務内容（内容選択・事務事業編対象）,"１.該当する
２.該当しない",（３）一部事務組合及び広域連合の事務内容,０．基礎情報,,,1
7,組合の事務内容（内容選択・事務事業編対象） 事務内容 ６.上水道,組合の事務内容（内容選択・事務事業編対象）,"１.該当する
２.該当しない",（３）一部事務組合及び広域連合の事務内容,０．基礎情報,,,1
8,組合の事務内容（内容選択・事務事業編対象） 事務内容 ７.下水道,組合の事務内容（内容選択・事務事業編対象）,"１.該当する
２.該当しない",（３）一部事務組合及び広域連合の事務内容,０．基礎情報,,,1
9,組合の事務内容（内容選択・事務事業編対象） 事務内容 ８.用水,組合の事務内容（内容選択・事務事業編対象）,"１.該当する
２.該当しない",（３）一部事務組合及び広域連合の事務内容,０．基礎情報,,,1
10,組合の事務内容（内容選択・事務事業編対象） 事務内容 ９.水防,組合の事務内容（内容選択・事務事業編対象）,"１.該当する
２.該当しない",（３）一部事務組合及び広域連合の事務内容,０．基礎情報,,,1
11,組合の事務内容（内容選択・事務事業編対象） 事務内容 １０.消防,組合の事務内容（内容選択・事務事業編対象）,"１.該当する
２.該当しない",（３）一部事務組合及び広域連合の事務内容,０．基礎情報,,,1
12,組合の事務内容（内容選択・事務事業編対象） 事務内容 １１.救急,組合の事務内容（内容選択・事務事業編対象）,"１.該当する
２.該当しない",（３）一部事務組合及び広域連合の事務内容,０．基礎情報,,,1
13,組合の事務内容（内容選択・事務事業編対象） 事務内容 １２.病院・医療センター等,組合の事務内容（内容選択・事務事業編対象）,"１.該当する
２.該当しない",（３）一部事務組合及び広域連合の事務内容,０．基礎情報,,,1
14,組合の事務内容（内容選択・事務事業編対象） 事務内容 １３.福祉施設（看護学校含む。高齢者施設を除く。）,組合の事務内容（内容選択・事務事業編対象）,"１.該当する
２.該当しない",（３）一部事務組合及び広域連合の事務内容,０．基礎情報,,,1
15,組合の事務内容（内容選択・事務事業編対象） 事務内容 １４.高齢者施設（養護老人ホーム等）,組合の事務内容（内容選択・事務事業編対象）,"１.該当する
２.該当しない",（３）一部事務組合及び広域連合の事務内容,０．基礎情報,,,1
16,組合の事務内容（内容選択・事務事業編対象） 事務内容 １５.学校,組合の事務内容（内容選択・事務事業編対象）,"１.該当する
２.該当しない",（３）一部事務組合及び広域連合の事務内容,０．基礎情報,,,1
17,組合の事務内容（内容選択・事務事業編対象） 事務内容 １６.その他教育関連施設,組合の事務内容（内容選択・事務事業編対象）,"１.該当する
２.該当しない",（３）一部事務組合及び広域連合の事務内容,０．基礎情報,,,1
18,組合の事務内容（内容選択・事務事業編対象） 事務内容 １７.公営競技,組合の事務内容（内容選択・事務事業編対象）,"１.該当する
２.該当しない",（３）一部事務組合及び広域連合の事務内容,０．基礎情報,,,1
19,組合の事務内容（内容選択・事務事業編対象） 事務内容 １８.港管理,組合の事務内容（内容選択・事務事業編対象）,"１.該当する
２.該当しない",（３）一部事務組合及び広域連合の事務内容,０．基礎情報,,,1
20,組合の事務内容（内容選択・事務事業編対象） 事務内容 １９.会館等の維持管理,組合の事務内容（内容選択・事務事業編対象）,"１.該当する
２.該当しない",（３）一部事務組合及び広域連合の事務内容,０．基礎情報,,,1
21,組合の事務内容（内容選択・事務事業編対象） 事務内容 ２０.その他行政事務,組合の事務内容（内容選択・事務事業編対象）,"１.該当する
２.該当しない",（３）一部事務組合及び広域連合の事務内容,０．基礎情報,,,1
22,組合の事務内容（内容選択・事務事業編対象） 実行計画の対象としている事務内容 １.一般廃棄物処理（ごみ処理・リサイクル施設）,組合の事務内容（内容選択・事務事業編対象）,"１.該当する
２.該当しない",（３）一部事務組合及び広域連合の事務内容,０．基礎情報,,,1
23,組合の事務内容（内容選択・事務事業編対象） 実行計画の対象としている事務内容 ２.一般廃棄物処理（し尿処理）,組合の事務内容（内容選択・事務事業編対象）,"１.該当する
２.該当しない",（３）一部事務組合及び広域連合の事務内容,０．基礎情報,,,1
24,組合の事務内容（内容選択・事務事業編対象） 実行計画の対象としている事務内容 ３.産業廃棄物処理,組合の事務内容（内容選択・事務事業編対象）,"１.該当する
２.該当しない",（３）一部事務組合及び広域連合の事務内容,０．基礎情報,,,1
25,組合の事務内容（内容選択・事務事業編対象） 実行計画の対象としている事務内容 ４.火葬・斎場・墓地等,組合の事務内容（内容選択・事務事業編対象）,"１.該当する
２.該当しない",（３）一部事務組合及び広域連合の事務内容,０．基礎情報,,,1
26,組合の事務内容（内容選択・事務事業編対象） 実行計画の対象としている事務内容 ５.その他環境衛生事業,組合の事務内容（内容選択・事務事業編対象）,"１.該当する
２.該当しない",（３）一部事務組合及び広域連合の事務内容,０．基礎情報,,,1
27,組合の事務内容（内容選択・事務事業編対象） 実行計画の対象としている事務内容 ６.上水道,組合の事務内容（内容選択・事務事業編対象）,"１.該当する
２.該当しない",（３）一部事務組合及び広域連合の事務内容,０．基礎情報,,,1
28,組合の事務内容（内容選択・事務事業編対象） 実行計画の対象としている事務内容 ７.下水道,組合の事務内容（内容選択・事務事業編対象）,"１.該当する
２.該当しない",（３）一部事務組合及び広域連合の事務内容,０．基礎情報,,,1
29,組合の事務内容（内容選択・事務事業編対象） 実行計画の対象としている事務内容 ８.用水,組合の事務内容（内容選択・事務事業編対象）,"１.該当する
２.該当しない",（３）一部事務組合及び広域連合の事務内容,０．基礎情報,,,1
30,組合の事務内容（内容選択・事務事業編対象） 実行計画の対象としている事務内容 ９.水防,組合の事務内容（内容選択・事務事業編対象）,"１.該当する
２.該当しない",（３）一部事務組合及び広域連合の事務内容,０．基礎情報,,,1
31,組合の事務内容（内容選択・事務事業編対象） 実行計画の対象としている事務内容 １０.消防,組合の事務内容（内容選択・事務事業編対象）,"１.該当する
２.該当しない",（３）一部事務組合及び広域連合の事務内容,０．基礎情報,,,1
32,組合の事務内容（内容選択・事務事業編対象） 実行計画の対象としている事務内容 １１.救急,組合の事務内容（内容選択・事務事業編対象）,"１.該当する
２.該当しない",（３）一部事務組合及び広域連合の事務内容,０．基礎情報,,,1
33,組合の事務内容（内容選択・事務事業編対象） 実行計画の対象としている事務内容 １２.病院・医療センター等,組合の事務内容（内容選択・事務事業編対象）,"１.該当する
２.該当しない",（３）一部事務組合及び広域連合の事務内容,０．基礎情報,,,1
34,組合の事務内容（内容選択・事務事業編対象） 実行計画の対象としている事務内容 １３.福祉施設（看護学校含む。高齢者施設を除く。）,組合の事務内容（内容選択・事務事業編対象）,"１.該当する
２.該当しない",（３）一部事務組合及び広域連合の事務内容,０．基礎情報,,,1
35,組合の事務内容（内容選択・事務事業編対象） 実行計画の対象としている事務内容 １４.高齢者施設（養護老人ホーム等）,組合の事務内容（内容選択・事務事業編対象）,"１.該当する
２.該当しない",（３）一部事務組合及び広域連合の事務内容,０．基礎情報,,,1
36,組合の事務内容（内容選択・事務事業編対象） 実行計画の対象としている事務内容 １５.学校,組合の事務内容（内容選択・事務事業編対象）,"１.該当する
２.該当しない",（３）一部事務組合及び広域連合の事務内容,０．基礎情報,,,1
37,組合の事務内容（内容選択・事務事業編対象） 実行計画の対象としている事務内容 １６.その他教育関連施設,組合の事務内容（内容選択・事務事業編対象）,"１.該当する
２.該当しない",（３）一部事務組合及び広域連合の事務内容,０．基礎情報,,,1
38,組合の事務内容（内容選択・事務事業編対象） 実行計画の対象としている事務内容 １７.公営競技,組合の事務内容（内容選択・事務事業編対象）,"１.該当する
２.該当しない",（３）一部事務組合及び広域連合の事務内容,０．基礎情報,,,1
39,組合の事務内容（内容選択・事務事業編対象） 実行計画の対象としている事務内容 １８.港管理,組合の事務内容（内容選択・事務事業編対象）,"１.該当する
２.該当しない",（３）一部事務組合及び広域連合の事務内容,０．基礎情報,,,1
40,組合の事務内容（内容選択・事務事業編対象） 実行計画の対象としている事務内容 １９.会館等の維持管理,組合の事務内容（内容選択・事務事業編対象）,"１.該当する
２.該当しない",（３）一部事務組合及び広域連合の事務内容,０．基礎情報,,,1
41,組合の事務内容（内容選択・事務事業編対象） 実行計画の対象としている事務内容 ２０.その他行政事務,組合の事務内容（内容選択・事務事業編対象）,"１.該当する
２.該当しない",（３）一部事務組合及び広域連合の事務内容,０．基礎情報,,,1
42,団体が保有・管理している施設の有無  ,団体が保有・管理している施設の有無,"１.有り
２.無し",（３）一部事務組合及び広域連合の事務内容,０．基礎情報,,,1
43,10月1日現在の事務事業編の策定・改定状況、（10月1日以降に改定する場合の）改定予定年度  ,10月1日現在の事務事業編の策定・改定状況、（10月1日以降に改定する場合の）改定予定年度,"１.過去に一度も策定したことがなく、2024年10月１日以降も策定する予定はない
２.過去に一度も策定したことがないが、2024年10月１日以降に策定する予定がある
３.現在、計画期間中であり、2024年10月１日以降に改定する予定はない
４.現在、計画期間中であり、2024年10月１日以降に改定する予定がある
５.既に計画期間を経過しているが、2024年10月１日以降に改定する予定はない
６.既に計画期間を経過しており、2024年10月１日以降に改定する予定がある",（１）実行計画（事務事業編）の策定・改定状況,１．事務事業に関する事項,1,1,1
44,10月1日現在の事務事業編の策定・改定状況、（10月1日以降に改定する場合の）改定予定年度 10月1日以降に策定・改定する場合の予定年度 ,10月1日現在の事務事業編の策定・改定状況、（10月1日以降に改定する場合の）改定予定年度,2000-2030,（１）実行計画（事務事業編）の策定・改定状況,１．事務事業に関する事項,1,1,1
45,事務事業編の策定・最終改定年度、目標年度、計画名称  策定・最終改定年度,事務事業編の策定・最終改定年度、目標年度、計画名称,2000-2030,（１）実行計画（事務事業編）の策定・改定状況,１．事務事業に関する事項,1,1,1
46,事務事業編の策定・最終改定年度、目標年度、計画名称  目標年度,事務事業編の策定・最終改定年度、目標年度、計画名称,2000-2030,（１）実行計画（事務事業編）の策定・改定状況,１．事務事業に関する事項,1,1,1
47,事務事業編の策定・最終改定年度、目標年度、計画名称  計画期間,事務事業編の策定・最終改定年度、目標年度、計画名称,,（１）実行計画（事務事業編）の策定・改定状況,１．事務事業に関する事項,1,1,1
48,事務事業編の公表状況（公表状況、URL） 実行計画（事務事業編）の計画名称 ,事務事業編の公表状況（公表状況、URL）,,（１）実行計画（事務事業編）の策定・改定状況,１．事務事業に関する事項,1,1,1
49,事務事業編の公表状況（公表状況、URL）  ,事務事業編の公表状況（公表状況、URL）,"1.webサイトで公表している
2.webサイトで公表していないが、その他の方法で公表している
3.公表していない",（１）実行計画（事務事業編）の策定・改定状況,１．事務事業に関する事項,1,1,1
50,事務事業編の公表状況（公表状況、URL） WebサイトのURL ,事務事業編の公表状況（公表状況、URL）,,（１）実行計画（事務事業編）の策定・改定状況,１．事務事業に関する事項,1,1,1
51,事務事業編の共同策定状況（策定状況、共同策定団体名）  ,事務事業編の共同策定状況（策定状況、共同策定団体名）,"１.共同して計画を策定済である
２.共同して計画を策定予定である
３.共同策定の予定はない",（１）実行計画（事務事業編）の策定・改定状況,１．事務事業に関する事項,1,1,1
52,事務事業編の共同策定状況（策定状況、共同策定団体名） 共同策定した団体名 ,事務事業編の共同策定状況（策定状況、共同策定団体名）,,（１）実行計画（事務事業編）の策定・改定状況,１．事務事業に関する事項,1,1,1
53,温室効果ガス総排出量設定目標（基準年度、目標年度、直近の点検年度の排出量）  基準年度,温室効果ガス総排出量設定目標（基準年度、目標年度、直近の点検年度の排出量）,2000-2030,（２）目標設定と対象,１．事務事業に関する事項,1,1,1
54,温室効果ガス総排出量設定目標（基準年度、目標年度、直近の点検年度の排出量）  基準年度：総排出量（基礎排出係数）,温室効果ガス総排出量設定目標（基準年度、目標年度、直近の点検年度の排出量）,,（２）目標設定と対象,１．事務事業に関する事項,1,1,1
55,温室効果ガス総排出量設定目標（基準年度、目標年度、直近の点検年度の排出量）  目標年度,温室効果ガス総排出量設定目標（基準年度、目標年度、直近の点検年度の排出量）,2000-2030,（２）目標設定と対象,１．事務事業に関する事項,1,1,1
56,温室効果ガス総排出量設定目標（基準年度、目標年度、直近の点検年度の排出量）  目標年度：総排出量（基礎排出係数）,温室効果ガス総排出量設定目標（基準年度、目標年度、直近の点検年度の排出量）,,（２）目標設定と対象,１．事務事業に関する事項,1,1,1
57,温室効果ガス総排出量設定目標（基準年度、目標年度、直近の点検年度の排出量）  目標年度：基準年度からの削減率,温室効果ガス総排出量設定目標（基準年度、目標年度、直近の点検年度の排出量）,,（２）目標設定と対象,１．事務事業に関する事項,1,1,1
58,温室効果ガス総排出量設定目標（基準年度、目標年度、直近の点検年度の排出量）  直近の点検年度,温室効果ガス総排出量設定目標（基準年度、目標年度、直近の点検年度の排出量）,2000-2030,（２）目標設定と対象,１．事務事業に関する事項,1,1,1
59,温室効果ガス総排出量設定目標（基準年度、目標年度、直近の点検年度の排出量）  直近の点検年度：総排出量（基礎排出係数）,温室効果ガス総排出量設定目標（基準年度、目標年度、直近の点検年度の排出量）,,（２）目標設定と対象,１．事務事業に関する事項,1,1,1
60,温室効果ガス総排出量設定目標（基準年度、目標年度、直近の点検年度の排出量）  直近の点検年度：基準年度からの削減率（基礎排出係数）,温室効果ガス総排出量設定目標（基準年度、目標年度、直近の点検年度の排出量）,,（２）目標設定と対象,１．事務事業に関する事項,1,1,1
61,温室効果ガス総排出量設定目標（基準年度、目標年度、直近の点検年度の排出量）  直近の点検年度：総排出量（調整後排出係数）,温室効果ガス総排出量設定目標（基準年度、目標年度、直近の点検年度の排出量）,,（２）目標設定と対象,１．事務事業に関する事項,1,1,1
62,温室効果ガス総排出量設定目標（基準年度、目標年度、直近の点検年度の排出量）  直近の点検年度：基準年度からの削減率（調整後排出係数）,温室効果ガス総排出量設定目標（基準年度、目標年度、直近の点検年度の排出量）,,（２）目標設定と対象,１．事務事業に関する事項,1,1,1
63,政府実行計画に準じた措置の設定および設定予定の有無（太陽光発電、ZEB、公用車EV、LED、再エネ調達）  太陽光発電の最大限の導入,政府実行計画に準じた措置の設定および設定予定の有無（太陽光発電、ZEB、公用車EV、LED、再エネ調達）,"1.有り
2.無し",（２）目標設定と対象,１．事務事業に関する事項,1,1,1
64,政府実行計画に準じた措置の設定および設定予定の有無（太陽光発電、ZEB、公用車EV、LED、再エネ調達）  建築物における省エネルギー対策の徹底,政府実行計画に準じた措置の設定および設定予定の有無（太陽光発電、ZEB、公用車EV、LED、再エネ調達）,"1.有り
2.無し",（２）目標設定と対象,１．事務事業に関する事項,1,1,1
65,政府実行計画に準じた措置の設定および設定予定の有無（太陽光発電、ZEB、公用車EV、LED、再エネ調達）  電動車の導入,政府実行計画に準じた措置の設定および設定予定の有無（太陽光発電、ZEB、公用車EV、LED、再エネ調達）,"1.有り
2.無し",（２）目標設定と対象,１．事務事業に関する事項,1,1,1
66,政府実行計画に準じた措置の設定および設定予定の有無（太陽光発電、ZEB、公用車EV、LED、再エネ調達）  LED照明の導入,政府実行計画に準じた措置の設定および設定予定の有無（太陽光発電、ZEB、公用車EV、LED、再エネ調達）,"1.有り
2.無し",（２）目標設定と対象,１．事務事業に関する事項,1,1,1
67,政府実行計画に準じた措置の設定および設定予定の有無（太陽光発電、ZEB、公用車EV、LED、再エネ調達）  再生可能エネルギー電力調達の推進,政府実行計画に準じた措置の設定および設定予定の有無（太陽光発電、ZEB、公用車EV、LED、再エネ調達）,"1.有り
2.無し",（２）目標設定と対象,１．事務事業に関する事項,1,1,1
68,政府実行計画に準じた措置の設定および設定予定の有無（太陽光発電、ZEB、公用車EV、LED、再エネ調達）  （措置の設定「無」と回答された場合）設定予定の有無　太陽光発電の最大限の導入,政府実行計画に準じた措置の設定および設定予定の有無（太陽光発電、ZEB、公用車EV、LED、再エネ調達）,"1.有り
2.無し",（２）目標設定と対象,１．事務事業に関する事項,1,1,1
69,政府実行計画に準じた措置の設定および設定予定の有無（太陽光発電、ZEB、公用車EV、LED、再エネ調達）  （措置の設定「無」と回答された場合）設定予定の有無　建築物における省エネルギー対策の徹底,政府実行計画に準じた措置の設定および設定予定の有無（太陽光発電、ZEB、公用車EV、LED、再エネ調達）,"1.有り
2.無し",（２）目標設定と対象,１．事務事業に関する事項,1,1,1
70,政府実行計画に準じた措置の設定および設定予定の有無（太陽光発電、ZEB、公用車EV、LED、再エネ調達）  （措置の設定「無」と回答された場合）設定予定の有無　電動車の導入,政府実行計画に準じた措置の設定および設定予定の有無（太陽光発電、ZEB、公用車EV、LED、再エネ調達）,"1.有り
2.無し",（２）目標設定と対象,１．事務事業に関する事項,1,1,1
71,政府実行計画に準じた措置の設定および設定予定の有無（太陽光発電、ZEB、公用車EV、LED、再エネ調達）  （措置の設定「無」と回答された場合）設定予定の有無　LED照明の導入,政府実行計画に準じた措置の設定および設定予定の有無（太陽光発電、ZEB、公用車EV、LED、再エネ調達）,"1.有り
2.無し",（２）目標設定と対象,１．事務事業に関する事項,1,1,1
72,政府実行計画に準じた措置の設定および設定予定の有無（太陽光発電、ZEB、公用車EV、LED、再エネ調達）  （措置の設定「無」と回答された場合）設定予定の有無　再生可能エネルギー電力調達の推進,政府実行計画に準じた措置の設定および設定予定の有無（太陽光発電、ZEB、公用車EV、LED、再エネ調達）,"1.有り
2.無し",（２）目標設定と対象,１．事務事業に関する事項,1,1,1
73,既存の行政計画と事務事業編との統合の状況  1.総合計画,既存の行政計画と事務事業編との統合の状況,"１.統合している
２.統合していない",（２）目標設定と対象,１．事務事業に関する事項,1,1,1
74,既存の行政計画と事務事業編との統合の状況  2.環境基本計画,既存の行政計画と事務事業編との統合の状況,"１.統合している
２.統合していない",（２）目標設定と対象,１．事務事業に関する事項,1,1,1
75,既存の行政計画と事務事業編との統合の状況  3.公共施設等総合管理計画,既存の行政計画と事務事業編との統合の状況,"１.統合している
２.統合していない",（２）目標設定と対象,１．事務事業に関する事項,1,1,1
76,既存の行政計画と事務事業編との統合の状況  4.廃棄物処理計画、一般廃棄物処理計画,既存の行政計画と事務事業編との統合の状況,"１.統合している
２.統合していない",（２）目標設定と対象,１．事務事業に関する事項,1,1,1
77,既存の行政計画と事務事業編との統合の状況  5.その他,既存の行政計画と事務事業編との統合の状況,"１.統合している
２.統合していない",（２）目標設定と対象,１．事務事業に関する事項,1,1,1
78,事務事業編の進捗状況を協議・審議する場  １.地球温暖化対策推進法第22条第1項に基づく地方公共団体実行計画協議会,事務事業編の進捗状況を協議・審議する場,"１.該当する
２.該当しない",（３）進行管理の仕組み,１．事務事業に関する事項,1,1,1
79,事務事業編の進捗状況を協議・審議する場  ２.地球温暖化対策推進法第40条第1項に基づく地球温暖化対策地域協議会,事務事業編の進捗状況を協議・審議する場,"１.該当する
２.該当しない",（３）進行管理の仕組み,１．事務事業に関する事項,1,1,1
80,事務事業編の進捗状況を協議・審議する場  ３.地方公共団体独自の環境審議会,事務事業編の進捗状況を協議・審議する場,"１.該当する
２.該当しない",（３）進行管理の仕組み,１．事務事業に関する事項,1,1,1
81,事務事業編の進捗状況を協議・審議する場  ４.関係各課等で構成される庁内組織,事務事業編の進捗状況を協議・審議する場,"１.該当する
２.該当しない",（３）進行管理の仕組み,１．事務事業に関する事項,1,1,1
82,事務事業編の進捗状況を協議・審議する場  ５.その他,事務事業編の進捗状況を協議・審議する場,"１.該当する
２.該当しない",（３）進行管理の仕組み,１．事務事業に関する事項,1,1,1
